MSENCLI,MSENDOS,EntryDate,Phase,Branch,Outstanding,fkCredit,DueDate,PhaseExit,ExitDate,ES_Event,TODU_EXIT,DREG_EXIT,LastPaymentDate,SRFACBASE,PostponementAuto,PostponementManual,Litigation,LitigationDate,DPD180,Dpd_Date,CriterionDate,CriterionOutst,Criterion_0M,Criterion_1M,Criterion_2M,Criterion_3M,Criterion_4M,Criterion_5M,Criterion_6M,Criterion_7M,Criterion_8M,Criterion_9M,Criterion_10M,Criterion_11M,Criterion_12M,Criterion_13M,Criterion_14M,Criterion_15M,Criterion_16M,Criterion_17M,Criterion_18M,Criterion_19M,Criterion_20M,Criterion_Ph2Amount_0M,Criterion_Ph2Amount_1M,Criterion_Ph2Amount_2M,Criterion_Ph2Amount_3M,Criterion_Ph2Amount_4M,Criterion_Ph2Amount_5M,Criterion_Ph2Amount_6M,Criterion_Ph2Amount_7M,Criterion_Ph2Amount_8M,Criterion_Ph2Amount_9M,Criterion_Ph2Amount_10M,Criterion_Ph2Amount_11M,Criterion_Ph2Amount_12M,Criterion_Ph2Amount_13M,Criterion_Ph2Amount_14M,Criterion_Ph2Amount_15M,Criterion_Ph2Amount_16M,Criterion_Ph2Amount_17M,Criterion_Ph2Amount_18M,Criterion_Ph2Amount_19M,Criterion_Ph2Amount_20M,Criterion_Amount_0M,Criterion_Amount_1M,Criterion_Amount_2M,Criterion_Amount_3M,Criterion_Amount_4M,Criterion_Amount_5M,Criterion_Amount_6M,Criterion_Amount_7M,Criterion_Amount_8M,Criterion_Amount_9M,Criterion_Amount_10M,Criterion_Amount_11M,Criterion_Amount_12M,Criterion_Amount_13M,Criterion_Amount_14M,Criterion_Amount_15M,Criterion_Amount_16M,Criterion_Amount_17M,Criterion_Amount_18M,Criterion_Amount_19M,Criterion_Amount_20M,ID,MSECTERM,MSENCLI.1,MSENDOS.1,SEANCPROF,SEBMENS,SEBMONTSSR,SEBMONTSSR12M,SEBREPORT,SEBREPRCVT,SEBRGEAT,SECARDIFCOMP,SECCSP,SECHAB,SECLCCRECH,SECLICMARQUEURA,SECLTRAITA,SECMOMENT,SECPOSA,SECPOSP,SECPRODBASE,SECPRODCOM,SECPSA,SECPTBAD,SECPTGOOD,SECPTINTERM,SECPTT,SECRCVTB,SECSITFAM,SECTEL,SECTRA,SECTYPEPROD,SECTYPEV,SEDATEVERS,SEDBILL,SEDCONT,SEDDERSSR,SEDDFIN,SEDDREG,SEDDREPORT,SEDECH1,SEDECHSE,SEDECOUVERT,SEDFIN,SEDFINTMAS,SEDJOUR,SEDNAIS,SEDOCCRECH,SEDOPHASEA,SEDOSCMARQUEURA,SEDOSCMARQUEURP,SEDOSDMARQUEURA,SEDOTRAITA,SEDPHASEA,SEDSORT,SEDTOMB,SEINACT,SEINDRPSSR,SEMCRD,SEMDMA,SEMDREG,SEMIR,SEMIRSSR,SEMMENS,SEMMENSP,SEMREGORIG,SEMREGSSR,SEMREPENR,SEMREPORTE,SEMSREC,SEMSRECAGIOS,SEMSRECCAP,SEMSRECCOTI,SEMSRECDIVERS,SEMSRECRET,SEMTME,SENAGCRCVT,SENAGCRCVTCLI,SENBDOS,SENBPLAN,SENOCOMDERN,SEPHASE,SEPHASEA,SEPHASEP,SEPHDDERN__2,SEPHDDERN__3,SEPHDDERN__4,SEPHDDERN__5,SEPHDDERN__7,SEPHNBORIG__2,SEPHNBORIG__4,SEPHNBORIG__7,SEPHNBORIG,SEPOSCLIA,SEPRCFAC,SEPRCPLAN,SEQUANT,SERGCPAI1,SERGNAT,SERPDATE,SESCENARIO,SETODUCLT,SETODUDOSS,SEVIEINACTC,SRCALERT,SRCCRECH,SRCLICMARQUEURA,SRCODIVR,SRCODSMS,SRCPP,SRCTRAAC,SRCTRADA,SRDFINTMAS,SRDOSCMARQUEURA,SRDOSOUTS,SRECHAAMMJJ,SRFACBASE.1,SRFACTX,SRIRBASE,SRIRTX,SRMTPP,SRNAGCRCVT,SRNAGCRCVTCLI,SRNBATT,SRNOLET,SRPHASEA,SRSCENARIO,SRSCOREPHA,SRTRAITA,SRVERSION,SEMAXDPDEVER,SECURRENTDPD,SEPHNBORIG__3,MM_EntryDate_LastPayment,MM_SEDDERSSR_EntryDate,MM_SEDDREG_EntryDate,MM_SEDDREPORT_EntryDate,MM_SEDECH1_EntryDate,MM_SEDFIN_EntryDate,YY_SEDNAIS_EntryDate,MM_SEDPHASEA_EntryDate,EntryMonth
4208610792,42086107929001,05/02/2017,2,508,4596.7,5623458.0,5,1,05/31/2017,REGL,4517.7,50.0,05/30/2017,0,0,0,1.0,03/03/2021,,,03/03/2021,1215.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28679870,     ,4208610792,42086100000000.0,0,60,10,1,2,2,17,0,13,J,0,2,T,RCVT,RET,ENC,PPP ,PLUS,0,0,0,0,354,H,3,2,X,CL ,ECH ,2013015,01/01/1900,04/20/2017,04/13/2017,01/01/1900,04/18/2017,06/16/2016,01/05/2016,05/02/2017,500000,12/01/2015,01/01/1900,05/02/2017,06/12/1977,0,7,2,99,04/13/2017,T,04/13/2017,03/20/2017,05/05/2017,0,0,456945,0,18000,2804,0,20232,20232,303327,18000,20464,20464,-2725,0,-2725,0,0,0,323712,501,501,1,0,0,7.77778e+23,7,0,06/01/2016,01/01/1900,01/01/1900,01/01/1900,04/13/2017,1,0,10,11,   ,X,X,5,S,5,06/16/2016,0,459670,459670,0,0,0,234,0,0,0,0,0,0,234,I,07/01/2017,0,0,0,0,0,508,508,0,955013,2,0,15132,T,123,,,0.0,0.0,1,1,11,16,17,40,1,2017-05
4207663818,42076638182100,05/02/2018,2,507,898.02,5702163.0,1,0,,,0.0,0.0,,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18506845,     ,4207663818,42076600000000.0,4,0,9,0,0,0,9,0,15,I,0,5,T,RCVT,RET,ENC,CP  ,CA7 ,0,0,0,0,600,K,2,3,X,CP ,ECH ,2013015,05/15/2018,04/24/2018,04/10/2018,10/05/2017,02/22/2018,01/01/1900,01/01/1900,05/02/2018,150000,12/16/2015,01/01/1900,05/02/2018,12/02/1974,0,7,0,5,03/31/2018,T,04/10/2018,02/23/2018,06/01/2018,1,0,77802,150000,12000,2400,0,6000,6000,154425,0,0,0,-12000,-4860,-5320,0,-800,0,0,502,502,1,0,0,7.7777e+23,7,0,09/01/2016,01/01/1900,01/01/1900,01/01/1900,04/10/2018,2,0,9,11,   ,X,X,1,X,0,01/01/1900,0,89802,89802,0,0,0,0,0,955205,0,0,0,0,0,I,07/01/2018,0,0,0,0,0,507,507,0,955013,2,0,32959,T,126,,,0.0,,1,3,999,999,29,44,1,2018-05
4303466363,43034663631100,01/02/2019,4,510,196.17,7144032.0,1,1,02/04/2019,REGL,-8.91,155.0,02/01/2019,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21251806,     ,4303466363,43034700000000.0,0,0,1,0,3,0,9,0,16,I,0,5,T,RCVT,RET,ENC,CP  ,CA7 ,0,0,0,0,100,F,3,2,X,CP ,ECH ,2013015,01/15/2019,01/01/1900,12/03/2018,01/01/1900,01/01/1900,12/31/2018,01/01/1900,01/02/2019,100000,09/25/2018,01/01/1900,01/02/2019,03/13/1997,0,7,0,0,01/01/1900,T,11/28/2018,01/01/1900,02/01/2019,1,0,7617,100000,0,0,0,6000,6000,-18633,0,0,18633,-12000,0,-12000,0,0,0,0,504,504,2,0,0,7.7e+23,7,0,01/01/1900,01/01/1900,01/01/1900,01/01/1900,12/03/2018,0,0,1,1,   ,X,X,1,X,0,01/01/1900,0,190814,19617,0,0,0,0,0,0,0,0,0,0,0,I,02/01/2019,0,0,0,0,0,510,510,0,0,4,0,14414,T,132,,,0.0,1.0,1,999,1,999,4,22,2,2019-01
4201468461,42014684619003,07/02/2018,2,508,7608.93,6167143.0,20,1,08/20/2018,REGL,7019.71,840.0,08/17/2018,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19286042,     ,4201468461,42014700000000.0,11,59,6,1,0,0,22,0,4,B,0,5,T,RCVT,RET,ENC,PPP ,EXT ,0,0,0,0,150,J,4,3,X,CL ,ECH ,2010001,01/01/1900,06/05/2018,06/22/2018,01/01/1900,05/29/2018,01/01/1900,10/20/2016,07/02/2018,1015000,09/17/2016,01/01/1900,07/02/2018,05/28/1952,0,7,0,5,06/19/2018,T,06/04/2018,05/30/2018,07/20/2018,1,0,733215,0,84000,0,0,27963,27963,559545,0,0,0,-27678,-9008,-14864,0,0,0,587223,505,505,2,0,0,7.22778e+23,7,0,04/02/2018,01/01/1900,01/01/1900,01/01/1900,06/22/2018,2,0,6,8,   ,X,X,20,X,0,01/01/1900,0,890645,760893,0,0,0,0,0,955205,0,0,0,0,0,I,09/01/2018,0,0,0,0,0,508,508,0,955013,2,0,27657,T,130,,,0.0,1.0,1,2,999,21,22,66,1,2018-07
4300674449,43006744491100,04/02/2018,2,507,542.65,5836607.0,1,1,04/19/2018,REGL,402.65,140.0,04/18/2018,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18285104,     ,4300674449,43006700000000.0,2,0,15,2,2,0,9,0,10,E,0,5,T,RCVT,RET,ENC,CP  ,CA7 ,0,0,0,0,455,F,1,2,X,CP ,ECH ,2013015,04/13/2018,03/06/2018,03/03/2018,08/29/2016,02/14/2018,04/24/2017,01/01/1900,04/02/2018,150000,02/18/2016,01/01/1900,04/02/2018,08/24/1992,0,7,0,5,02/28/2018,T,03/03/2018,02/15/2018,05/01/2018,1,0,42265,150000,6000,6000,0,6000,6000,226000,0,8960,8960,-12000,-2929,-7658,0,-800,0,0,505,505,1,0,0,7.72778e+23,7,0,01/02/2018,01/01/1900,01/01/1900,01/01/1900,03/03/2018,3,0,15,18,   ,X,X,1,X,0,04/24/2017,0,54265,54265,0,0,0,0,0,955205,0,0,0,0,0,I,06/01/2018,0,0,0,0,0,507,507,0,955013,2,0,21061,T,126,,,0.0,0.0,1,2,12,999,26,26,1,2018-04
4212835856,42128358569002,05/02/2019,2,508,5231.48,5885136.0,5,1,05/31/2019,REP ,5036.81,300.0,05/27/2019,0,0,1,1.0,02/04/2021,,,02/04/2021,2688.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22619193,     ,4212835856,42128400000000.0,3,56,12,3,2,2,37,0,2,I,0,4,T,RCVT,RET,ENC,PPP ,PLUS,0,0,0,0,930,H,1,2,X,CL ,ECH ,2013015,01/01/1900,04/25/2019,04/08/2019,01/01/1900,03/12/2019,01/31/2019,05/05/2016,05/02/2019,1000000,03/21/2016,01/01/1900,05/02/2019,10/25/1993,0,7,0,90,04/04/2019,T,05/02/2019,03/13/2019,05/05/2019,1,0,493238,0,30000,0,0,29970,29970,989520,0,29850,59490,-29910,-5152,-19158,0,0,0,1078920,505,508,2,0,0,7.77228e+23,2,7,12/01/2018,01/01/1900,01/01/1900,01/01/1900,04/08/2019,6,0,11,17,   ,X,X,5,X,0,01/31/2019,0,1310273,523148,0,0,0,0,0,0,0,0,0,0,0,I,07/01/2019,0,0,0,0,0,508,508,0,955013,2,0,22186,T,134,,,0.0,0.0,1,2,4,36,38,26,0,2019-05
4209803651,42098036519007,04/01/2019,2,506,410.51,6857610.0,5,1,04/04/2019,REGL,0.0,419.4,04/03/2019,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22321502,     ,4209803651,42098000000000.0,11,18,3,0,0,0,13,0,6,A,0,80,C,RCVT,RET,ENC,VAT ,CREX,0,0,0,0,618,J,1,3,X,CL ,ECH ,2013015,01/01/1900,01/01/1900,03/13/2019,01/01/1900,02/20/2019,01/01/1900,04/05/2018,04/01/2019,90147,02/21/2018,01/01/1900,04/01/2019,10/06/1980,0,7,0,5,03/04/2019,T,04/01/2019,02/20/2019,04/05/2019,1,0,34781,0,6270,0,0,6270,6270,68970,0,0,0,-6270,-919,-5351,0,0,0,75240,504,506,3,0,0,7.707e+23,2,7,01/01/1900,01/01/1900,01/01/1900,01/01/1900,03/13/2019,0,0,3,3,   ,X,X,5,X,0,01/01/1900,0,126785,41051,0,0,0,0,0,0,0,0,0,0,0,I,04/08/2019,0,0,0,0,0,506,506,0,955013,2,0,34910,C,134,,,0.0,0.0,1,2,999,12,14,39,0,2019-04
4303794780,43037947801100,10/01/2019,2,507,361.92,7136949.0,1,1,10/24/2019,REGL,181.92,120.0,10/23/2019,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24290534,     ,4303794780,43037900000000.0,3,0,4,1,6,1,9,0,5,I,0,5,T,RCVT,RET,ENC,CP  ,CA7 ,0,0,0,0,100,J,1,2,X,CP ,ECH ,2013015,10/15/2019,09/13/2019,09/09/2019,01/01/1900,08/27/2019,06/28/2019,01/01/1900,10/01/2019,70000,09/25/2018,01/01/1900,10/01/2019,12/19/1991,0,7,0,5,08/31/2019,T,09/09/2019,08/28/2019,11/01/2019,1,0,24206,70000,6000,0,0,6000,6000,18810,0,6000,35325,-11986,-2122,-9078,0,-786,0,0,501,501,1,0,0,7.77278e+23,7,0,06/01/2019,01/01/1900,01/01/1900,01/01/1900,09/09/2019,1,0,4,5,   ,X,X,1,X,0,06/28/2019,0,36192,36192,0,0,0,0,0,955205,0,0,0,0,0,I,12/01/2019,0,0,0,0,0,507,507,0,955013,2,0,25125,T,134,,,0.0,0.0,1,2,4,999,13,28,1,2019-10
4211999224,42119992249003,12/02/2019,2,508,18967.08,6908905.0,20,1,12/31/2019,REP ,18693.99,500.0,12/03/2019,0,0,1,1.0,09/09/2020,,,09/09/2020,19782.51,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18967.08,18967.08,18967.08,18967.08,18967.08,18967.08,18967.08,18967.08,18967.08,18967.08,18967.08,18967.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19782.51,19782.51,19782.51,19782.51,19782.51,19782.51,19782.51,19782.51,19782.51,19782.51,19782.51,19782.51,24865793,     ,4211999224,42120000000000.0,0,120,10,0,0,0,21,0,18,J,0,5,T,RCVT,RET,ENC,PPP ,PLUS,0,0,0,0,916,H,3,3,X,CL ,ECH ,2013015,01/01/1900,11/29/2019,10/28/2019,01/01/1900,09/21/2019,01/01/1900,04/20/2018,12/02/2019,2050000,03/28/2018,01/01/1900,12/02/2019,09/07/1987,0,7,0,90,10/18/2019,T,10/28/2019,08/27/2019,12/20/2019,2,0,1827606,0,34551,0,0,34551,34551,621918,0,0,0,-69102,-30297,-23431,0,0,0,691020,501,501,2,0,0,7.70771e+23,7,0,01/01/1900,01/01/1900,01/01/1900,01/01/1900,10/28/2019,0,0,10,10,   ,X,X,20,X,0,01/01/1900,0,2029359,1896708,1,0,0,0,0,955205,0,0,0,0,0,I,02/01/2020,0,0,0,0,0,508,508,0,955013,2,0,28260,T,136,41.0,41.0,0.0,0.0,2,3,999,20,21,32,2,2019-12
4209812918,42098129181100,10/01/2018,2,507,404.83,6701896.0,1,1,10/22/2018,REGL,-17.93,372.76,10/19/2018,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20249846,     ,4209812918,42098100000000.0,0,0,2,1,5,0,9,0,14,N,0,5,T,RCVT,RET,ENC,CP  ,CA7 ,0,0,0,0,830,F,3,2,X,CP ,ECH ,2013015,10/15/2018,09/13/2018,09/10/2018,03/29/2018,08/15/2018,05/31/2018,01/01/1900,10/01/2018,70000,11/06/2017,01/01/1900,10/01/2018,10/17/1980,0,7,0,5,08/31/2018,T,09/10/2018,08/16/2018,11/01/2018,1,0,28762,70000,23992,0,0,6000,6000,26788,0,0,53010,-11721,-2788,-7815,0,-800,0,0,501,501,1,0,0,7.43228e+23,7,0,05/02/2018,07/02/2018,08/01/2018,01/01/1900,09/10/2018,1,1,2,5,   ,X,X,1,X,0,01/01/1900,0,40483,40483,0,0,0,0,0,955205,0,0,0,0,0,I,12/01/2018,0,0,0,0,0,507,507,0,955013,2,0,15132,T,130,,,1.0,0.0,1,2,5,999,11,38,1,2018-10
